sn,time,msg,server_model
000d33b21436,2020/9/2 11:38, System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted,SM40
000d33b21436,2020/9/2 15:46, System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted,SM40
005c5a9218ba,2020/6/28 18:26, Memory Memory_Status | Correctable ECC | Asserted,SM99
005c5a9218ba,2020/6/28 18:40, System ACPI Power State #0x7d | S0/G0: working | Asserted,SM99
005c5a9218ba,2020/6/28 18:26, Memory Memory_Status | Correctable ECC | Asserted,SM99
005c5a9218ba,2020/6/28 18:38, System ACPI Power State #0x7d | S4/S5: soft-off | Asserted,SM99
005c5a9218ba,2020/6/28 18:40, System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted,SM99
005c5a9218ba,2020/6/28 18:26, Memory Memory_Status | Correctable ECC | Asserted,SM99
005c5a9218ba,2020/6/28 18:40, System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted,SM99
005c5a9218ba,2020/6/28 18:26, Memory Memory_Status | Correctable ECC | Asserted,SM99
005c5a9218ba,2020/6/28 18:26, Memory Memory_Status | Correctable ECC | Asserted,SM99
005c5a9218ba,2020/6/28 18:26, Memory Memory_Status | Correctable ECC | Asserted,SM99
0079283bde6e,2020/4/26 20:54, Power Supply PSU1_Supply | Failure detected | Asserted,SM14
007bdf23b62f,2020/6/16 17:11, Memory #0xe2 | Correctable ECC | Asserted,SM93
007bdf23b62f,2020/6/16 17:13, Memory #0xe2 | Correctable ECC | Asserted,SM93
007bdf23b62f,2020/6/16 17:10, Memory #0xe2 | Correctable ECC | Asserted,SM93
007bdf23b62f,2020/6/16 17:16, Memory #0xe2 | Correctable ECC | Asserted,SM93
007bdf23b62f,2020/6/16 17:45, System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted,SM93
007bdf23b62f,2020/6/16 17:44, System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted,SM93
007bdf23b62f,2020/6/16 17:16, Memory #0xe2 | Correctable ECC | Asserted,SM93
007bdf23b62f,2020/6/16 17:13, Memory #0xe2 | Correctable ECC | Asserted,SM93
007bdf23b62f,2020/6/16 17:14, Memory #0xe2 | Correctable ECC | Asserted,SM93
007bdf23b62f,2020/6/16 17:45, Unknown Chassis_control |  | Asserted,SM93
007bdf23b62f,2020/6/16 17:44, Unknown Chassis_control |  | Asserted,SM93
007bdf23b62f,2020/6/16 17:19, Memory #0xe2 | Correctable ECC | Asserted,SM93
007bdf23b62f,2020/6/16 17:16, Memory #0xe2 | Correctable ECC | Asserted,SM93
007bdf23b62f,2020/6/16 17:04, Memory #0xe2 | Correctable ECC | Asserted,SM93
007bdf23b62f,2020/6/16 17:16, Memory #0xe2 | Correctable ECC | Asserted,SM93
007bdf23b62f,2020/6/16 17:45, System Boot Initiated #0xe0 | Initiated by warm reset | Asserted,SM93
007bdf23b62f,2020/6/16 17:16, Memory #0xe2 | Correctable ECC | Asserted,SM93
007bdf23b62f,2020/6/16 17:32, Memory #0xe2 | Correctable ECC | Asserted,SM93
007bdf23b62f,2020/6/16 17:45, System Boot Initiated #0xe0 | Initiated by warm reset | Asserted,SM93
00a577a8e54f,2020/4/7 6:46, System Boot Initiated System Restart | System Restart | Asserted,SM13
00a577a8e54f,2020/4/7 6:52, OS Boot BIOS_Boot_Up | boot completed - device not specified | Asserted,SM13
00a577a8e54f,2020/4/7 6:43, Memory MEM_CHG1_Status | Correctable ECC | Asserted,SM13
00a577a8e54f,2020/4/7 6:45, OS Stop/Shutdown OS Status | OS graceful shutdown | Asserted,SM13
00a577a8e54f,2020/4/7 6:43, Memory MEM_CHG1_Status | Uncorrectable ECC | Asserted,SM13
00a577a8e54f,2020/4/7 6:45, OS Critical Stop OS Status | OS graceful shutdown | Asserted,SM13
00a85fb232bf,2020/5/27 3:21, Memory CPU0D0_DIMM_Stat | Correctable ECC | Asserted,SM56
00ae2639c426,2019/12/30 4:18, Processor CPU0_Status | Configuration Error | Asserted,SM23
00ae2639c426,2019/12/30 4:19, Processor CPU_CATERR | State Asserted | Asserted,SM23
00b9c343ace4,2020/11/13 1:01, Memory CPU1_E0 | Correctable ECC | Asserted,SM77
00b9c343ace4,2020/11/13 1:01, Processor #0x71 | Configuration Error | Asserted,SM77
00b9c343ace4,2020/11/13 1:01, System Event #0xff | Timestamp Clock Sync | Asserted,SM77
00b9c343ace4,2020/11/13 1:00, Processor CPU1_Status | Presence detected | Asserted,SM77
00b9c343ace4,2020/11/13 1:00, Power Supply PS0_Status | Presence detected | Asserted,SM77
00b9c343ace4,2020/11/13 1:00, System Event #0xff | Timestamp Clock Sync | Asserted,SM77
00b9c343ace4,2020/11/13 0:59, System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted,SM77
00b9c343ace4,2020/11/13 1:00, Power Supply PS1_Status | Presence detected | Asserted,SM77
00b9c343ace4,2020/11/13 1:00, Processor CPU0_Status | Presence detected | Asserted,SM77
00bdcf2207d5,2020/1/4 13:13, Memory CPU1C0_DIMM_Stat | Correctable ECC | Asserted,SM54
00c76d7884f5,2020/7/16 16:06, Processor CPU_CATERR | State Asserted | Asserted,SM49
00efc5577dfb,2020/3/29 15:13, Memory #0x87 | Correctable ECC | Asserted,SM92
00efc5577dfb,2020/3/29 14:55, Memory #0x87 | Correctable ECC | Asserted,SM92
00efc5577dfb,2020/3/29 14:55, Memory #0x87 | Correctable ECC | Asserted,SM92
00efc5577dfb,2020/3/29 15:13, Memory #0x87 | Correctable ECC | Asserted,SM92
00efc5577dfb,2020/3/29 14:55, Memory #0x87 | Correctable ECC | Asserted,SM92
00efc5577dfb,2020/3/29 14:55, Memory #0x87 | Correctable ECC | Asserted,SM92
00efc5577dfb,2020/3/29 15:13, Memory #0x87 | Correctable ECC | Asserted,SM92
00efc5577dfb,2020/3/29 15:13, Memory #0x87 | Correctable ECC | Asserted,SM92
0100ff20a414,2020/6/24 10:07, Memory #0x87 | Correctable ECC | Asserted,SM92
0100ff20a414,2020/6/24 10:07, Memory #0x87 | Correctable ECC | Asserted,SM92
0100ff20a414,2020/6/24 10:07, Memory #0x87 | Correctable ECC | Asserted,SM92
0100ff20a414,2020/6/24 10:07, Memory #0x87 | Correctable ECC | Asserted,SM92
0100ff20a414,2020/6/24 10:07, Memory #0x87 | Correctable ECC | Asserted,SM92
0126a9b6fe8a,2020/11/17 19:41, Memory CPU0B0_DIMM_Stat | Uncorrectable ECC | Asserted,SM35
0126a9b6fe8a,2020/11/17 19:41, Processor CPU0_Status | Configuration Error | Asserted,SM35
0153c3f57a40,2020/11/14 15:37, Unknown #0x17 |  | Asserted,SM23
0153c3f57a40,2020/11/14 15:37, Processor CPU_CATERR | State Asserted | Asserted,SM23
017e4e6117e9,2020/10/22 19:40, Drive Slot HDD56 | Drive Present | Deasserted,SM92
017e4e6117e9,2020/10/23 15:05, Drive Slot HDD17 | Drive Present | Asserted,SM92
017e4e6117e9,2020/10/22 16:16, Drive Slot / Bay HDD41 | Drive Present | Deasserted,SM92
017e4e6117e9,2020/10/22 16:18, Drive Slot / Bay HDD6 | Drive Present | Deasserted,SM92
017e4e6117e9,2020/10/22 16:25, Drive Slot HDD73 | Drive Present | Asserted,SM92
017e4e6117e9,2020/10/22 16:18, Drive Slot HDD6 | Drive Present | Asserted,SM92
017e4e6117e9,2020/10/22 19:39, Drive Slot / Bay HDD16 | Drive Present | Asserted,SM92
017e4e6117e9,2020/10/22 16:23, Drive Slot / Bay HDD72 | Drive Present | Asserted,SM92
017e4e6117e9,2020/10/22 16:14, Drive Slot HDD57 | Drive Present | Asserted,SM92
017e4e6117e9,2020/10/22 16:23, Drive Slot / Bay HDD72 | Drive Present | Deasserted,SM92
017e4e6117e9,2020/10/23 15:04, Drive Slot / Bay HDD17 | Drive Present | Deasserted,SM92
017e4e6117e9,2020/10/22 16:13, Drive Slot / Bay HDD57 | Drive Present | Deasserted,SM92
017e4e6117e9,2020/10/22 19:39, Drive Slot HDD16 | Drive Present | Asserted,SM92
017e4e6117e9,2020/10/22 16:13, Drive Slot HDD57 | Drive Present | Deasserted,SM92
017e4e6117e9,2020/10/22 16:14, Drive Slot / Bay HDD57 | Drive Present | Asserted,SM92
017e4e6117e9,2020/10/22 19:40, Drive Slot / Bay HDD17 | Drive Present | Asserted,SM92
017e4e6117e9,2020/10/22 19:40, Drive Slot HDD17 | Drive Present | Deasserted,SM92
017e4e6117e9,2020/10/22 19:39, Drive Slot HDD16 | Drive Present | Asserted,SM92
017e4e6117e9,2020/10/22 16:24, Drive Slot HDD73 | Drive Present | Deasserted,SM92
017e4e6117e9,2020/10/22 16:24, Drive Slot / Bay HDD73 | Drive Present | Deasserted,SM92
017e4e6117e9,2020/10/22 19:39, Drive Slot / Bay HDD16 | Drive Present | Deasserted,SM92
017e4e6117e9,2020/10/22 16:23, Drive Slot HDD72 | Drive Present | Asserted,SM92
017e4e6117e9,2020/10/22 16:18, Drive Slot / Bay HDD6 | Drive Present | Asserted,SM92
017e4e6117e9,2020/10/23 15:04, Drive Slot HDD17 | Drive Present | Deasserted,SM92
017e4e6117e9,2020/10/22 19:39, Drive Slot HDD16 | Drive Present | Deasserted,SM92
017e4e6117e9,2020/10/22 19:39, Drive Slot HDD16 | Drive Present | Deasserted,SM92
017e4e6117e9,2020/10/22 16:16, Drive Slot HDD41 | Drive Present | Deasserted,SM92
017e4e6117e9,2020/10/22 19:41, Drive Slot / Bay HDD56 | Drive Present | Asserted,SM92
017e4e6117e9,2020/10/22 16:17, Drive Slot / Bay HDD41 | Drive Present | Asserted,SM92
017e4e6117e9,2020/10/22 19:41, Drive Slot HDD56 | Drive Present | Asserted,SM92
017e4e6117e9,2020/10/22 19:40, Drive Slot HDD17 | Drive Present | Asserted,SM92
017e4e6117e9,2020/10/22 19:40, Drive Slot / Bay HDD56 | Drive Present | Deasserted,SM92
017e4e6117e9,2020/10/22 16:25, Drive Slot / Bay HDD73 | Drive Present | Asserted,SM92
017e4e6117e9,2020/10/22 16:18, Drive Slot HDD6 | Drive Present | Deasserted,SM92
017e4e6117e9,2020/10/23 15:05, Drive Slot / Bay HDD17 | Drive Present | Asserted,SM92
017e4e6117e9,2020/10/22 16:23, Drive Slot HDD72 | Drive Present | Deasserted,SM92
017e4e6117e9,2020/10/22 19:39, Drive Slot / Bay HDD16 | Drive Present | Asserted,SM92
017e4e6117e9,2020/10/22 19:40, Drive Slot / Bay HDD17 | Drive Present | Deasserted,SM92
017e4e6117e9,2020/10/22 16:17, Drive Slot HDD41 | Drive Present | Asserted,SM92
017e4e6117e9,2020/10/22 19:39, Drive Slot / Bay HDD16 | Drive Present | Deasserted,SM92
01a40ffafd2f,2020/10/26 0:16, Memory #0xe2 | Uncorrectable ECC | Asserted,SM68
01a40ffafd2f,2020/10/26 0:18, System Boot Initiated #0xe0 | Initiated by power up | Asserted,SM68
01ac9d690a5e,2020/11/20 9:41, Power Unit Power Unit | Power off/down | Asserted,SM92
01ac9d690a5e,2020/11/20 9:41, Unknown Chassis_control |  | Asserted,SM92
01ac9d690a5e,2020/11/20 9:41, System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted,SM92
01cf668b5570,2020/8/4 2:54, Memory DIMM121 | Correctable ECC logging limit reached | Asserted,SM6
01d5da5da11d,2020/5/6 2:53, Processor #0x7c | Configuration Error | Asserted,SM68
01d5da5da11d,2020/5/6 2:57, System Boot Initiated #0xe0 | Initiated by power up | Asserted,SM68
01d5da5da11d,2020/5/6 2:56, Unknown Chassis_Control |  | Asserted,SM68
01d5da5da11d,2020/5/6 2:55, Unknown Chassis_Control |  | Asserted,SM68
01d5da5da11d,2020/5/6 2:53, Unknown #0x17 |  | Asserted,SM68
01d5da5da11d,2020/5/6 2:56, System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted,SM68
01d5da5da11d,2020/5/6 2:55, System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted,SM68
01d65d7f72a7,2020/11/21 17:31, Processor CPU0_Status | Configuration Error | Asserted,SM35
01d65d7f72a7,2020/11/21 17:31, Memory CPU0A0_DIMM_Stat | Uncorrectable ECC | Asserted,SM35
01e9d5054c2a,2020/2/16 22:18, Memory CPU0A0_DIMM_Stat | Correctable ECC | Asserted,SM35
01e9d5054c2a,2020/2/16 19:39, Memory CPU0A0_DIMM_Stat | Correctable ECC | Asserted,SM35
01f3b3f71d8b,2020/3/7 4:18, Processor CPU1_Status | IERR | Asserted,SM35
02214af9255e,2020/5/5 13:55, Memory CPU0D0_DIMM_Stat | Uncorrectable ECC | Asserted,SM35
02214af9255e,2020/5/5 13:56, Memory CPU0D0_DIMM_Stat | Correctable ECC | Asserted,SM35
02214af9255e,2020/5/5 13:55, Memory CPU0D0_DIMM_Stat | Correctable ECC | Asserted,SM35
02214af9255e,2020/5/5 13:55, Memory CPU0D0_DIMM_Stat | Correctable ECC | Asserted,SM35
02214af9255e,2020/5/5 13:56, Memory CPU0D0_DIMM_Stat | Correctable ECC | Asserted,SM35
02214af9255e,2020/5/5 13:55, Processor CPU0_Status | Configuration Error | Asserted,SM35
02214af9255e,2020/5/5 13:55, Memory CPU0D0_DIMM_Stat | Correctable ECC | Asserted,SM35
02214af9255e,2020/5/5 13:54, Memory CPU0D0_DIMM_Stat | Correctable ECC | Asserted,SM35
02214af9255e,2020/5/5 13:56, Memory CPU0D0_DIMM_Stat | Correctable ECC | Asserted,SM35
02214af9255e,2020/5/5 13:55, Memory CPU0D0_DIMM_Stat | Correctable ECC | Asserted,SM35
02214af9255e,2020/5/5 13:55, Memory CPU0D0_DIMM_Stat | Correctable ECC | Asserted,SM35
02214af9255e,2020/5/5 13:55, Processor CPU0_Status | Configuration Error | Asserted,SM35
02214af9255e,2020/5/5 13:56, Memory CPU0D0_DIMM_Stat | Correctable ECC | Asserted,SM35
02214af9255e,2020/5/5 13:55, Memory CPU0D0_DIMM_Stat | Correctable ECC | Asserted,SM35
02214af9255e,2020/5/5 13:55, Memory CPU0D0_DIMM_Stat | Correctable ECC | Asserted,SM35
02214af9255e,2020/5/5 13:55, Memory CPU0D0_DIMM_Stat | Correctable ECC | Asserted,SM35
02214af9255e,2020/5/5 13:55, Memory CPU0D0_DIMM_Stat | Uncorrectable ECC | Asserted,SM35
02214af9255e,2020/5/5 13:55, Memory CPU0D0_DIMM_Stat | Correctable ECC | Asserted,SM35
02214af9255e,2020/5/5 13:56, Memory CPU0D0_DIMM_Stat | Correctable ECC | Asserted,SM35
022744a139a6,2020/7/24 2:45, Processor CPU_CATERR | State Asserted | Asserted,SM49
24101912048,2020/7/4 11:36, Memory CPU0F0_DIMM_Stat | Uncorrectable ECC | Asserted,SM23
24101912048,2020/7/4 11:37, Processor CPU0_Status | Configuration Error | Asserted,SM23
24101912048,2020/7/4 11:37, Memory CPU0F0_DIMM_Stat | Uncorrectable ECC | Asserted,SM23
24101912048,2020/7/4 11:36, Processor CPU0_Status | Configuration Error | Asserted,SM23
24101912048,2020/7/4 11:37, Unknown #0xc5 |  | Asserted,SM23
24101912048,2020/7/4 11:37, Memory CPU0F0_DIMM_Stat | Uncorrectable ECC | Asserted,SM23
24101912048,2020/7/4 11:37, Processor CPU_CATERR | State Asserted | Asserted,SM23
24101912048,2020/7/4 11:37, Processor CPU0_Status | Configuration Error | Asserted,SM23
24101912048,2020/7/4 11:37, Processor CPU0_Status | Configuration Error | Asserted,SM23
24101912048,2020/7/4 11:37, Memory CPU0F0_DIMM_Stat | Uncorrectable ECC | Asserted,SM23
24101912048,2020/7/4 11:37, Unknown #0x17 |  | Asserted,SM23
0241539b62ad,2020/2/4 15:31, Processor CPU_CATERR | State Asserted | Asserted,SM23
024c4749a0e3,2020/2/28 2:48, Drive Slot / Bay DISK5_Stat | Drive Fault | Asserted,SM27
024e23730328,2020/10/9 22:10, System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted,SM16
024e23730328,2020/10/9 22:09, System Event #0x10 | Timestamp Clock Sync | Asserted,SM16
024e23730328,2020/10/9 21:58, Memory #0xf9 | Uncorrectable ECC | Asserted,SM16
024e23730328,2020/10/9 22:09, System Event #0x10 | Timestamp Clock Sync | Asserted,SM16
024e23730328,2020/10/9 22:11, OS Boot #0xe9 | boot completed - device not specified | Asserted,SM16
02a80f530dec,2020/2/2 20:58, Memory #0xe2 | Correctable ECC | Asserted,SM50
02a80f530dec,2020/2/2 21:05, Memory #0xe2 | Correctable ECC | Asserted,SM50
02d5a67614ef,2020/10/26 7:25, Processor CPU1_Status | Configuration Error | Deasserted,SM27
02d5a67614ef,2020/10/26 7:29, System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted,SM27
02d5a67614ef,2020/10/26 7:24, Processor CPU1_Status | Configuration Error | Asserted,SM27
02d5a67614ef,2020/10/26 7:27, Processor CPU1_Status | Configuration Error | Asserted,SM27
0315e3cbb9a0,2020/9/28 16:36, System Event #0xff | Timestamp Clock Sync | Asserted,SM83
0315e3cbb9a0,2020/9/28 16:34, Unknown CPU0 MCERR |  | Deasserted,SM83
0315e3cbb9a0,2020/9/28 16:36, Power Unit Pwr Unit Status | Power off/down | Deasserted,SM83
0315e3cbb9a0,2020/9/28 16:34, Power Unit Pwr Unit Status | Power off/down | Asserted,SM83
0315e3cbb9a0,2020/9/28 16:53, System Event #0xff | Timestamp Clock Sync | Asserted,SM83
0315e3cbb9a0,2020/9/28 16:30, Unknown CPU0 CATERR |  | Asserted,SM83
0315e3cbb9a0,2020/9/28 16:34, Unknown CPU0 CATERR |  | Deasserted,SM83
0315e3cbb9a0,2020/9/28 16:53, System Boot Initiated | Initiated by power up | Asserted,SM83
0315e3cbb9a0,2020/9/28 16:30, Unknown CPU0 MCERR |  | Asserted,SM83
033c5321b720,2020/10/25 3:50, System Boot Initiated System Restart | System Restart | Asserted,SM13
033c5321b720,2020/10/25 3:52, OS Boot BIOS_Boot_Up | boot completed - device not specified | Asserted,SM13
033c5321b720,2020/10/25 3:50, Memory MEM_CHD0_Status | Memory Device Disabled | Asserted,SM13
033fbe8c691a,2020/2/1 4:01, Memory #0xf9 | Correctable ECC | Asserted,SM16
033fbe8c691a,2020/4/28 15:27, Memory #0xf9 | Correctable ECC | Asserted,SM16
033fbe8c691a,2020/4/28 16:16, Memory #0xf9 | Correctable ECC | Asserted,SM16
035e7876c3f1,2020/8/19 11:19, Unknown #0x19 |  | Asserted,SM103
035e7876c3f1,2020/8/19 11:27, OEM record c3 | 000000 | 0203c0a80101,SM103
035e7876c3f1,2020/8/19 11:18, Processor CPU_CATERR | IERR | Asserted,SM103
03604903eada,2020/4/7 12:45, System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted,SM55
03604903eada,2020/4/7 12:43, Processor CPU1_Status | IERR | Deasserted,SM55
03604903eada,2020/4/7 12:44, System ACPI Power State ACPI_PWR_Status | S0/G0: working | Asserted,SM55
03604903eada,2020/4/7 12:36, Processor CPU1_Status | IERR | Asserted,SM55
03604903eada,2020/4/7 12:43, System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted,SM55
03aabe9ae504,2020/3/4 1:45, System Boot Initiated #0xe0 | Initiated by power up | Asserted,SM65
03aabe9ae504,2020/3/4 1:43, Memory #0xe2 | Uncorrectable ECC | Asserted,SM65
03d298ddc8cc,2020/2/21 11:06, Memory #0xe2 | Uncorrectable ECC | Asserted,SM68
03d298ddc8cc,2020/2/21 11:08, System Boot Initiated #0xe0 | Initiated by power up | Asserted,SM68
03dc478f8a3d,2020/8/8 1:16, Memory CPU0B0_DIMM_Stat | Uncorrectable ECC | Asserted,SM35
03dc478f8a3d,2020/8/8 1:16, Processor CPU1_Status | Configuration Error | Asserted,SM35
03de6d55c340,2020/5/22 16:29, System Boot Initiated #0xe0 | Initiated by power up | Asserted,SM49
03de6d55c340,2020/5/22 16:13, Processor #0xe4 | Configuration Error | Asserted,SM49
03fa12cac8e2,2020/1/7 0:57, Memory #0xf9 | Uncorrectable ECC | Asserted,SM16
03fa12cac8e2,2020/1/7 1:01, System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted,SM16
0406fac8a123,2020/2/6 6:46, Unknown #0xc5 |  | Asserted,SM49
0406fac8a123,2020/2/6 6:46, Processor CPU_CATERR | State Asserted | Asserted,SM49
040bce42108a,2020/1/27 13:39, Unknown CPU0 MCERR |  | Asserted,SM83
040bce42108a,2020/1/27 13:39, Unknown CPU0 CATERR |  | Asserted,SM83
042a0abc63b7,2020/9/21 20:13, Management Subsys Health System_Health | Sensor access degraded or unavailable | Asserted,SM35
042a0abc63b7,2020/9/21 20:12, Processor CPU0_Status | IERR | Asserted,SM35
042a0abc63b7,2020/9/21 20:12, Processor CPU1_Status | IERR | Asserted,SM35
4.38E+17,2020/9/10 8:46, Memory CPU1E0_DIMM_Stat | Correctable ECC | Asserted,SM35
4.38E+17,2020/9/10 5:11, System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted,SM35
4.38E+17,2020/9/10 8:27, Memory CPU1E0_DIMM_Stat | Correctable ECC | Asserted,SM35
4.38E+17,2020/9/10 10:41, Memory CPU1E0_DIMM_Stat | Correctable ECC | Asserted,SM35
4.38E+17,2020/9/10 0:09, Memory CPU1E0_DIMM_Stat | Correctable ECC | Asserted,SM35
4.38E+17,2020/9/10 10:10, Memory CPU1E0_DIMM_Stat | Correctable ECC | Asserted,SM35
4.38E+17,2020/9/10 0:31, Memory CPU1F0_DIMM_Stat | Correctable ECC | Asserted,SM35
